Date,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net,Source,Status
2025-01-27,10440.46,14954.62,-4514.16,16503.43,9861.28,6642.15,Master 2006-2026,provisional
2025-01-28,13194.71,16135.58,-2940.87,19735.28,12920.95,6814.33,Master 2006-2026,provisional
2025-01-29,8229.89,10026.11,-1796.22,12871.38,11078.67,1792.71,Master 2006-2026,provisional
2025-01-30,15113.72,16867.56,-1753.84,13934.35,11768.46,2165.89,Master 2006-2026,provisional
2025-01-31,18092.5,18093.82,-1.32,13549.67,11317.45,2232.22,Master 2006-2026,provisional
2025-02-01,,,0.0,13364.01,12539.63,824.38,Master 2006-2026,provisional
2025-02-03,14405.82,18033.82,-3628.0,19319.48,16611.25,2708.23,Master 2006-2026,provisional
2025-02-04,18989.01,17959.58,1029.43,15002.64,15433.34,-430.7,Master 2006-2026,provisional
2025-02-05,14873.26,16020.79,-1147.53,12860.76,11864.48,996.28,Master 2006-2026,provisional
2025-02-06,13765.31,17359.67,-3594.36,11546.06,8824.4,2721.66,Master 2006-2026,provisional
2025-02-07,12961.51,13434.2,-472.69,12185.62,11731.42,454.2,Master 2006-2026,provisional
2025-02-10,10173.42,12470.54,-2297.12,9802.45,8286.93,1515.52,Master 2006-2026,provisional
2025-02-11,12428.64,16517.9,-4089.26,13787.72,9785.83,4001.89,Master 2006-2026,provisional
2025-02-12,13009.09,17884.9,-4875.81,15357.41,9428.17,5929.24,Master 2006-2026,provisional
2025-02-13,12933.24,15128.84,-2195.6,13148.49,10213.99,2934.5,Master 2006-2026,provisional
2025-02-14,8848.25,13871.69,-5023.44,12826.66,8462.79,4363.87,Master 2006-2026,provisional
2025-02-17,9142.6,11265.36,-2122.76,12504.11,7744.34,4759.77,Master 2006-2026,provisional
2025-02-18,32022.46,23806.18,8216.28,12792.87,9720.68,3072.19,Master 2006-2026,provisional
2025-02-19,,,0.0,11192.98,9235.24,1957.74,Master 2006-2026,provisional
2025-02-20,11215.84,14723.4,-3507.56,13180.35,9272.71,3907.64,Master 2006-2026,provisional
2025-02-21,10970.94,14402.17,-3431.23,12889.44,10004.83,2884.61,Master 2006-2026,provisional
2025-02-24,8609.39,14328.6,-5719.21,12552.14,7366.49,5185.65,Master 2006-2026,provisional
2025-02-25,12714.19,15548.11,-2833.92,11278.09,8247.31,3030.78,Master 2006-2026,provisional
2025-02-27,22069.31,20949.56,1119.75,13530.17,11803.06,1727.11,Master 2006-2026,provisional
2025-02-28,40089.82,52115.87,-12026.05,28065.55,15756.92,12308.63,Master 2006-2026,provisional
